
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.091
  alpha =    4.500    CLtot =    0.959
  beta  =    0.000

  Sref  =    10.35350
  Bref  =    15.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.472362         0.113269    
    0.0357  0.455004         0.104989    
    0.1071  0.420187         0.893601E-01
    0.1786  0.385154         0.749791E-01
    0.2500  0.349899         0.618531E-01
    0.3214  0.314437         0.499900E-01
    0.3929  0.278799         0.393965E-01
    0.4643  0.243031         0.300781E-01
    0.5357  0.207203         0.220382E-01
    0.6071  0.171418         0.152771E-01
    0.6786  0.135835         0.979045E-02
    0.7500  0.100720         0.556624E-02
    0.8214  0.665450E-01     0.257936E-02
    0.8929  0.342611E-01     0.779248E-03
    0.9643  0.625120E-02     0.558143E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.472362        -0.113269    
   -0.0357  0.455004        -0.104989    
   -0.1071  0.420187        -0.893601E-01
   -0.1786  0.385154        -0.749791E-01
   -0.2500  0.349899        -0.618531E-01
   -0.3214  0.314437        -0.499900E-01
   -0.3929  0.278799        -0.393965E-01
   -0.4643  0.243031        -0.300781E-01
   -0.5357  0.207203        -0.220382E-01
   -0.6071  0.171418        -0.152771E-01
   -0.6786  0.135835        -0.979045E-02
   -0.7500  0.100720        -0.556624E-02
   -0.8214  0.665450E-01    -0.257936E-02
   -0.8929  0.342611E-01    -0.779248E-03
   -0.9643  0.625120E-02    -0.558143E-04
   -1.0000   0.00000          0.00000    
