
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.084
  alpha =    4.185    CLtot =    1.104
  beta  =    0.000

  Sref  =    25.78320
  Bref  =    60.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.545693         0.111250    
    0.0357  0.516672         0.101764    
    0.1071  0.459887         0.843257E-01
    0.1786  0.405750         0.688679E-01
    0.2500  0.354438         0.552931E-01
    0.3214  0.306020         0.434992E-01
    0.3929  0.260535         0.333822E-01
    0.4643  0.218009         0.248367E-01
    0.5357  0.178459         0.177569E-01
    0.6071  0.141902         0.120362E-01
    0.6786  0.108351         0.756739E-02
    0.7500  0.778202E-01     0.424291E-02
    0.8214  0.503319E-01     0.195448E-02
    0.8929  0.259316E-01     0.592633E-03
    0.9643  0.483723E-02     0.431896E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.545693        -0.111250    
   -0.0357  0.516672        -0.101764    
   -0.1071  0.459887        -0.843257E-01
   -0.1786  0.405750        -0.688679E-01
   -0.2500  0.354438        -0.552931E-01
   -0.3214  0.306020        -0.434992E-01
   -0.3929  0.260535        -0.333822E-01
   -0.4643  0.218009        -0.248367E-01
   -0.5357  0.178459        -0.177569E-01
   -0.6071  0.141902        -0.120362E-01
   -0.6786  0.108351        -0.756739E-02
   -0.7500  0.778202E-01    -0.424291E-02
   -0.8214  0.503319E-01    -0.195448E-02
   -0.8929  0.259316E-01    -0.592633E-03
   -0.9643  0.483723E-02    -0.431896E-04
   -1.0000   0.00000          0.00000    
