
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.075
  alpha =   -0.247    CLtot =    0.613
  beta  =    0.000

  Sref  =    31.74080
  Bref  =    30.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.303367         0.651793E-01
    0.0357  0.288903         0.598911E-01
    0.1071  0.260348         0.500831E-01
    0.1786  0.232620         0.412801E-01
    0.2500  0.205845         0.334504E-01
    0.3214  0.180096         0.265586E-01
    0.3929  0.155423         0.205672E-01
    0.4643  0.131865         0.154370E-01
    0.5357  0.109457         0.111277E-01
    0.6071  0.882318E-01     0.759755E-02
    0.6786  0.682305E-01     0.480358E-02
    0.7500  0.495105E-01     0.270106E-02
    0.8214  0.321738E-01     0.124241E-02
    0.8929  0.164451E-01     0.374218E-03
    0.9643  0.300740E-02     0.268518E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.303367        -0.651793E-01
   -0.0357  0.288903        -0.598911E-01
   -0.1071  0.260348        -0.500831E-01
   -0.1786  0.232620        -0.412801E-01
   -0.2500  0.205845        -0.334504E-01
   -0.3214  0.180096        -0.265586E-01
   -0.3929  0.155423        -0.205672E-01
   -0.4643  0.131865        -0.154370E-01
   -0.5357  0.109457        -0.111277E-01
   -0.6071  0.882318E-01    -0.759755E-02
   -0.6786  0.682305E-01    -0.480358E-02
   -0.7500  0.495104E-01    -0.270106E-02
   -0.8214  0.321738E-01    -0.124241E-02
   -0.8929  0.164451E-01    -0.374218E-03
   -0.9643  0.300740E-02    -0.268518E-04
   -1.0000   0.00000          0.00000    
