
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.200
  alpha =    2.000    CLtot =    0.597
  beta  =    0.000

  Sref  =    71.05000
  Bref  =    29.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.295763         0.627127E-01
    0.0357  0.281625         0.575574E-01
    0.1071  0.253634         0.479992E-01
    0.1786  0.226302         0.394290E-01
    0.2500  0.199787         0.318202E-01
    0.3214  0.174208         0.251418E-01
    0.3929  0.149662         0.193584E-01
    0.4643  0.126234         0.144317E-01
    0.5357  0.104003         0.103203E-01
    0.6071  0.830477E-01     0.698014E-02
    0.6786  0.634565E-01     0.436399E-02
    0.7500  0.453408E-01     0.242118E-02
    0.8214  0.288682E-01     0.109602E-02
    0.8929  0.143478E-01     0.324307E-03
    0.9643  0.254229E-02     0.226990E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.295763        -0.627127E-01
   -0.0357  0.281625        -0.575574E-01
   -0.1071  0.253634        -0.479992E-01
   -0.1786  0.226302        -0.394290E-01
   -0.2500  0.199787        -0.318202E-01
   -0.3214  0.174208        -0.251418E-01
   -0.3929  0.149662        -0.193584E-01
   -0.4643  0.126234        -0.144317E-01
   -0.5357  0.104003        -0.103203E-01
   -0.6071  0.830477E-01    -0.698014E-02
   -0.6786  0.634565E-01    -0.436399E-02
   -0.7500  0.453408E-01    -0.242118E-02
   -0.8214  0.288682E-01    -0.109602E-02
   -0.8929  0.143478E-01    -0.324307E-03
   -0.9643  0.254229E-02    -0.226990E-04
   -1.0000   0.00000          0.00000    
